Epoch,train_UNetR_Loss,train_UNetG_Loss,train_Discriminator_Loss,valid_mae_loss,valid_psnr_loss,valid_ssim_loss
1,7.6319,-0.6770,-1.7515,0.0232,31.4175,0.6822
2,4.8699,0.5567,-1.2228,0.0175,33.7975,0.7945
3,4.1201,0.4835,-1.0400,0.0155,34.8142,0.8334
4,3.8811,0.5469,-1.0748,0.0141,35.5771,0.8582
5,3.6550,0.5356,-1.0507,0.0130,36.1183,0.8788
6,3.6322,0.7097,-0.9806,0.0127,36.3596,0.8874
7,3.5506,0.7113,-0.9163,0.0122,36.5689,0.8913
8,3.4579,0.6856,-0.9053,0.0122,36.7508,0.8934
9,3.5562,0.8228,-0.8887,0.0122,36.6650,0.8931
10,3.6005,0.8803,-0.8131,0.0121,36.7914,0.8945
11,3.5334,0.8257,-0.7817,0.0119,36.8701,0.8939
12,3.5757,0.8498,-0.7460,0.0123,36.6317,0.8949
13,3.6014,0.8981,-0.7200,0.0115,37.2347,0.8979
14,3.6622,0.9729,-0.7015,0.0116,37.1915,0.8948
15,3.5566,0.8930,-0.6822,0.0115,37.2815,0.8976
16,3.6400,0.9870,-0.6902,0.0113,37.4619,0.8989
17,3.7114,1.0771,-0.6837,0.0115,37.2534,0.8973
18,3.6819,1.0635,-0.6825,0.0115,37.3485,0.8989
19,3.5951,0.9941,-0.6684,0.0112,37.5329,0.8993
20,3.6140,1.0385,-0.6804,0.0114,37.3275,0.8994
21,3.6118,1.0490,-0.6547,0.0113,37.4935,0.8989
22,3.5806,1.0481,-0.6915,0.0113,37.3981,0.9004
23,3.5607,1.0233,-0.6649,0.0113,37.5227,0.8997
24,3.5347,1.0175,-0.6719,0.0112,37.5822,0.8991
25,3.6396,1.1267,-0.6736,0.0112,37.5690,0.8998
26,3.4821,1.0057,-0.6894,0.0113,37.4741,0.8994
27,3.4369,0.9721,-0.6992,0.0111,37.6459,0.9009
28,3.4324,0.9656,-0.7021,0.0111,37.5723,0.8997
29,3.3391,0.8962,-0.7103,0.0112,37.5856,0.9008
30,3.3016,0.8669,-0.7266,0.0112,37.5512,0.8996
31,3.2539,0.8277,-0.7181,0.0110,37.6813,0.9013
32,3.1523,0.7408,-0.7416,0.0112,37.6512,0.9007
33,3.1697,0.7523,-0.7305,0.0110,37.6901,0.9012
34,3.2265,0.8417,-0.7337,0.0110,37.6979,0.9013
35,3.3260,0.9157,-0.7158,0.0110,37.7172,0.9020
36,3.1796,0.7843,-0.7390,0.0110,37.7713,0.9019
37,3.1652,0.7817,-0.7290,0.0110,37.7264,0.9029
38,3.1596,0.7552,-0.7262,0.0110,37.7210,0.9020
39,3.1485,0.7636,-0.7359,0.0110,37.7814,0.9026
40,3.2053,0.8279,-0.7291,0.0110,37.7257,0.9021
41,3.2036,0.8230,-0.7351,0.0110,37.7615,0.9026
42,3.2190,0.8132,-0.7248,0.0109,37.7886,0.9030
43,3.2649,0.8671,-0.7244,0.0110,37.7496,0.9027
44,3.2567,0.8530,-0.7211,0.0110,37.7702,0.9025
45,3.2875,0.8809,-0.7226,0.0110,37.7405,0.9026
46,3.2724,0.8754,-0.7181,0.0110,37.7347,0.9026
47,3.2628,0.8723,-0.7174,0.0110,37.7552,0.9027
48,3.2623,0.8725,-0.7186,0.0110,37.7436,0.9027
49,3.2418,0.8441,-0.7204,0.0110,37.7568,0.9027
50,3.2457,0.8392,-0.7196,0.0110,37.7568,0.9027
